@relation 'fitxerfinal2.txt_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.158TS10-0.155TS32-0.155TS16-0.152TS29-0.152TS30... numeric
@attribute -0.191SS27+0.186TS5-0.185SS7-0.172SS12-0.167SS23... numeric
@attribute '-0.24TT15-0.208TT10-0.206TS1-0.197TT24+0.18 TT26...' numeric
@attribute '0.217LS8-0.206LS15-0.193ES15+0.193LS16+0.19 TT11...' numeric
@attribute -0.247TS13-0.215ES31-0.195TT16-0.191TT31-0.167SS21... numeric
@attribute -0.256TT17-0.253TT21-0.221TT20+0.214SS21-0.198ES21... numeric
@attribute -0.25TT14+0.206ES30-0.202ES31-0.195SS24+0.188SS17... numeric
@attribute -0.279TT29-0.264LS25-0.223LS5-0.211SS21-0.179ES13... numeric
@attribute 0.291ES30+0.242ES28-0.233ES12+0.226LS24-0.206TT29... numeric
@attribute 0.226ES21+0.202LS9+0.192TT31-0.187LS4-0.182TT18... numeric
@attribute -0.265ES5-0.224TT1-0.214LS32-0.198TT2-0.186LS2... numeric
@attribute -0.233ES14-0.19ES20+0.188TT31-0.186TT30-0.181TT13... numeric
@attribute -0.25LS23-0.236ES17+0.235LS6+0.185TT9+0.173ES28... numeric
@attribute 0.221TT16+0.221TT12+0.219LS31+0.217TT27+0.191ES1... numeric
@attribute 0.252LS1+0.196LS5-0.187LS32-0.185ES32-0.184LS20... numeric
@attribute '0.222LS28+0.212SS6+0.204ES26-0.196ES28+0.18 TT2...' numeric
@attribute 0.258ES18-0.206TT8+0.197TT17-0.194LS27+0.187TT6... numeric
@attribute -0.284ES27+0.262LS20+0.201SS13+0.201LS24-0.197ES13... numeric
@attribute 0.263ES24+0.243LS21+0.217ES19+0.203ES6+0.192number... numeric
@attribute 0.209ES5-0.208LS18-0.204ES10+0.186TT23-0.186LS32... numeric
@attribute 0.213TT28+0.209TT5+0.208LS17-0.19LS20+0.164LS6... numeric
@attribute -0.256TT30+0.238TT7-0.226LS2+0.199LS24+0.195TT9... numeric
@attribute '0.251LS20+0.221ES13+0.212ES9+0.2  SS14-0.2ES8...' numeric
@attribute -0.201ES12+0.198ES1-0.185TT30-0.178LS9-0.174TT8... numeric
@attribute -0.218SS1+0.214number+0.209TT1+0.186LS13+0.182TT6... numeric
@attribute 0.231LS17-0.226LS22+0.208LS27-0.2TT21-0.185ES1... numeric
@attribute '0.244TT3-0.233TT13+0.2  ES25+0.191LS14+0.188TT1...' numeric
@attribute '0.3  TT22+0.249LS5+0.234ES9+0.191TT9+0.189LS2...' numeric
@attribute -0.375ES6+0.256TT7+0.236ES23-0.223number+0.202TT19... numeric
@attribute 0.233ES21-0.207TT8-0.2LS24+0.193LS19-0.189TT23... numeric
@attribute '0.19 LS1-0.189TT4+0.187SS21+0.185TS6-0.182LS16...' numeric
@attribute 0.246TT3+0.187LS9-0.185ES20-0.179LS2-0.178SS1... numeric
@attribute -0.226LS19-0.223TT18-0.208ES26+0.194ES18+0.191ES12... numeric
@attribute '0.249LS21+0.2  TT4-0.195LS26+0.191LS28+0.183LS2...' numeric
@attribute 0.257ES1+0.199LS23-0.184TS6-0.181ES9+0.179TS21... numeric
@attribute -0.222ES2+0.207ES27+0.201LS14-0.199LS1-0.194LS22... numeric
@attribute -0.229ES22+0.227TT16-0.222TT20-0.219TT6-0.214ES13... numeric
@attribute '0.244LS28+0.233ES32+0.214ES6+0.205ES22+0.2  LS10...' numeric
@attribute 0.249ES24+0.238ES14+0.236LS22+0.182TS17+0.178TT16... numeric
@attribute '0.249LS20+0.21 LS6+0.175LS8-0.172TT13+0.169LS23...' numeric
@attribute -0.218SS1-0.212LS30-0.184LS29+0.163ES17-0.157TT26... numeric
@attribute -0.307LS13-0.226SS9-0.21TT22+0.205ES5-0.194TS21... numeric
@attribute '-0.281TS21-0.256ES26+0.22 SS14+0.204LS13+0.173LS16...' numeric
@attribute -0.235ES17+0.227LS12-0.206LS31-0.187ES25+0.182LS2... numeric
@attribute -0.28SS4+0.236SS20-0.209ES2+0.207LS19-0.199TT11... numeric
@attribute -0.236TT23+0.223SS6+0.203LS26+0.187TS12-0.167ES13... numeric
@attribute -0.202TS4-0.201TT23+0.172TT11-0.171LS1+0.165ES23... numeric
@attribute -0.248LS27-0.214TT6+0.191LS1+0.179ES27+0.178TT26... numeric
@attribute -0.265ES28-0.215LS22+0.214ES13-0.191LS16+0.179TT12... numeric
@attribute -0.225ES18+0.201LS10+0.196LS13+0.192SS25+0.178TT15... numeric
@attribute 0.216LS26+0.212LS21-0.198TS21-0.19TT28-0.189TS8... numeric
@attribute -0.224TS4+0.206LS9-0.203ES6-0.199SS12-0.198TS21... numeric
@attribute -0.241TT27+0.215TT31+0.211LS30+0.171ES20-0.167TT26... numeric
@attribute -0.231ES22+0.208ES1-0.205TT19+0.199LS26+0.171LS11... numeric
@attribute -0.217TT6-0.217TT1+0.208ES14+0.182LS23-0.178LS9... numeric
@attribute name {QUIMICA1RIP,control1,ethyleno1,ethyleno_cera}

@data
2.011259,1.549683,-1.758055,1.760218,3.479074,1.562947,-2.146743,-1.968375,-0.478323,0.138539,-0.976386,-0.591927,-1.295193,-0.399626,0.265259,-1.118571,-1.457892,-1.796154,-2.216972,-0.877146,1.887216,-3.18616,-2.053995,0.048896,-1.376798,-0.019282,0.302845,-2.137594,-0.921103,1.997589,-0.359964,0.128568,-0.967934,0.841616,0.175312,0.094234,0.990862,0.35254,-0.140943,-0.220331,-0.214348,-0.821581,-1.200085,1.879976,0.077515,-0.853442,0.672827,0.897534,-1.481086,-0.044113,0.111822,-1.800213,-0.765845,0.389675,1.137224,QUIMICA1RIP
4.843564,0.623813,1.06784,0.663146,3.196753,1.746254,0.572748,-2.068106,1.309791,0.190569,-1.414528,-0.252084,-1.571727,2.259064,0.178844,-1.774886,0.933222,-2.491524,-1.862092,-0.025927,0.964664,0.06624,1.632315,1.801038,-1.298803,0.179876,2.102816,-2.168014,0.257283,0.324477,1.750678,-1.374848,1.045226,0.337221,-0.180078,-0.490796,1.463766,0.748856,0.669881,-0.735132,-1.71747,-0.786448,-0.169194,2.082531,0.97117,1.899121,-0.092392,-1.095735,-1.01237,-0.527596,-1.195913,1.134007,1.062078,-0.493042,-0.698339,QUIMICA1RIP
4.58149,0.619927,0.681498,-0.250118,-0.136496,-0.262448,-1.158178,-0.431241,1.30027,1.76177,0.121144,-0.536145,0.988384,1.594114,-1.458681,0.561108,0.027272,0.593307,1.756128,1.173608,-0.328556,-1.41273,-0.410366,0.419753,-0.230241,0.635102,-0.855975,0.881541,-1.053813,0.641496,-0.126742,0.106348,-1.124195,0.553391,-0.458502,1.899578,-0.249749,0.410798,-0.4478,-0.719791,-0.08992,-0.033128,0.723793,-0.840757,0.674254,-0.711777,1.029581,-0.963553,0.26676,0.765929,0.297443,0.000992,1.131636,-0.531782,1.111284,QUIMICA1RIP
3.45132,-0.679478,2.473494,-1.09611,-2.070678,3.472324,-3.02957,0.382514,-2.15397,0.231135,-0.708645,3.171229,2.775279,0.591818,-0.923579,0.67669,-3.883402,2.19963,-0.594733,1.025396,-0.651888,0.349426,1.98697,1.032069,0.116641,-1.585976,0.116262,0.502717,-0.524611,-0.416485,2.390744,3.454039,-0.634639,0.056953,-1.986121,2.289803,-0.043221,-1.384246,0.858781,-2.017958,-1.420848,-0.421574,-1.296907,0.1894,-0.65028,0.321004,0.37553,-0.214425,-1.690957,-0.083512,-1.305602,0.074681,-1.126225,-0.208678,0.580197,QUIMICA1RIP
4.820131,-0.68009,1.349276,2.030338,1.543762,-1.376748,-0.075537,-2.296896,-0.286079,0.280856,0.886611,0.102814,-0.562919,0.49533,-1.888505,0.49237,-1.321315,1.653301,-0.231117,-0.668738,1.022617,1.469199,0.737606,0.832698,0.343952,-0.945729,1.082938,0.811915,-1.969956,1.50623,-1.412661,-0.358563,0.570121,-2.520989,1.457513,0.970444,-1.262923,0.095752,-0.435466,2.646714,-0.320113,-2.995638,0.33499,-1.040128,-0.602286,0.081258,0.635961,1.155035,0.251231,-0.030237,-1.025477,-0.309521,0.581794,-0.750089,-0.777851,QUIMICA1RIP
0.615815,2.032221,-2.097987,2.650055,2.426698,-0.441302,-0.806984,-1.394354,0.183274,-0.73309,-0.991542,2.745088,-1.446547,1.55055,0.168898,1.480899,0.910658,2.754679,-2.041389,0.626742,-0.670181,1.139282,0.224384,-0.086259,1.918016,-2.407512,1.492554,-1.906467,1.121563,-1.431834,0.303768,0.479992,-1.334262,-0.797307,1.503808,-0.558332,1.11855,-0.17279,0.341293,0.76505,2.389432,-0.15942,-0.94883,-0.572657,0.296692,-1.430148,0.542282,-2.370103,0.567267,1.828874,0.565992,-0.009071,1.246223,-0.220736,0.876062,QUIMICA1RIP
3.705776,0.753704,0.401493,1.952373,-0.596028,4.625332,-1.179377,-0.211458,-0.251752,-5.681712,0.50646,0.453125,-0.430669,2.517793,-0.472834,0.284847,-1.363814,0.97531,0.525455,-0.233568,-2.2955,-1.541311,-2.583371,2.340715,0.207548,2.1243,0.702101,-0.756058,1.118156,-2.726487,1.30001,-1.946503,0.798239,-0.091577,-0.914204,-0.772165,-1.540568,-0.62123,0.554726,0.175937,1.785925,-0.435245,1.742819,-0.259348,0.203834,-0.370664,-0.160576,0.076193,0.766395,-1.942955,0.063877,-1.702205,-0.297169,0.188067,0.518289,QUIMICA1RIP
5.062404,0.949362,-0.212634,1.20251,1.103704,0.756209,-1.055851,-0.160507,-0.005238,0.394678,-1.208314,0.622636,1.319276,1.670722,0.022224,0.4452,-1.248276,-0.29201,0.32321,0.817524,-0.775867,1.455608,-0.037694,0.835825,0.513384,1.434174,-0.542985,1.227058,0.834986,-0.918014,0.74347,1.108872,-0.874289,1.79929,0.466223,0.699779,-0.240791,1.97381,-1.021327,0.685342,-0.254319,0.679311,-0.378166,0.494733,0.467703,0.041697,-0.061237,0.562473,-0.011768,0.219789,0.107711,-0.468729,-0.395901,-0.106568,-1.061169,QUIMICA1RIP
5.519243,0.132909,0.549579,3.995807,1.047003,1.01116,3.370303,-0.542691,1.973806,-0.470235,-1.05087,3.789238,1.262443,-0.905889,-3.469201,0.978243,2.259886,-1.108793,2.913172,-1.82528,0.73499,0.450711,-1.390035,-1.799675,0.238256,2.778416,-1.164668,-1.97731,-0.157512,-0.120254,-1.142986,1.231187,-1.446665,0.738272,-1.821921,-0.316012,-1.080375,-1.678491,-0.445707,0.052481,0.044471,-0.594585,-0.183987,0.986767,0.683679,1.364509,-0.675111,0.695231,0.784535,1.564994,-2.058247,0.464955,0.251274,0.856493,-0.071963,QUIMICA1RIP
4.185947,0.401742,1.245553,2.104085,1.926571,-0.041964,1.154087,1.970836,0.763496,1.290336,-2.859237,1.252216,1.240901,1.151148,-2.174196,-0.688398,2.261402,-1.837082,0.270579,1.335359,-0.261966,1.496345,2.080852,0.221155,-0.635412,1.001367,2.34466,1.409265,-1.3144,-0.210022,1.071663,-0.680336,-1.512846,0.768776,1.300527,-0.382303,-0.824474,2.2942,0.643582,1.810289,1.069721,-0.673794,0.61928,-1.210734,0.119432,1.094447,0.161354,0.313384,-1.209432,-1.362644,0.519876,0.329584,-0.445883,0.023574,-0.000255,QUIMICA1RIP
